,label,时间,原始重量,稳定重量,轴重,su_ad,wpu_x,wpu_y,wpu_z,su_x,su_y,su_z,原始重量_diff,稳定重量_diff,轴重_diff,su_ad_diff,wpu_x_diff,wpu_y_diff,wpu_z_diff,su_x_diff,su_y_diff,su_z_diff,轨迹时间,速度,估计重量
0,0,2023-12-22 00:01:20,-13594,0,-13594,33989,11906,-1462,77996,3345,0,86539,0,0,0,0,0,0,0,0,0,0,2023-12-22 00:04:28,0.0,0.0
1,0,2023-12-22 00:01:23,-13616,0,-13649,33994,11900,-1465,78002,3328,0,86555,-22,0,-55,5,-6,-3,6,-17,0,16,2023-12-22 00:04:28,0.0,0.0
2,0,2023-12-22 00:01:25,-13438,0,-13549,33985,11904,-1457,77999,3334,0,86550,178,0,100,-9,4,8,-3,6,0,-5,2023-12-22 00:04:28,0.0,0.0
3,0,2023-12-22 00:01:28,-13605,0,-13627,33992,11901,-1464,78001,3334,0,86550,-167,0,-78,7,-3,-7,2,0,0,0,2023-12-22 00:04:28,0.0,0.0
4,0,2023-12-22 00:01:31,-13594,0,-13438,33975,11924,-1448,77980,3334,0,86555,11,0,189,-17,23,16,-21,0,0,5,2023-12-22 00:04:28,0.0,0.0
5,0,2023-12-22 00:01:34,-13660,0,-13538,33984,11909,-1456,77995,3339,0,86544,-66,0,-100,9,-15,-8,15,5,0,-11,2023-12-22 00:04:28,0.0,0.0
6,0,2023-12-22 00:01:37,-13649,0,-13827,34010,11911,-1482,77990,3334,0,86550,11,0,-289,26,2,-26,-5,-5,0,6,2023-12-22 00:04:28,0.0,0.0
7,0,2023-12-22 00:01:41,-13827,0,-13794,34007,11913,-1479,77988,3339,0,86544,-178,0,33,-3,2,3,-2,5,0,-6,2023-12-22 00:04:28,0.0,0.0
8,0,2023-12-22 00:01:44,-13716,0,-13571,33987,11907,-1459,77996,3356,0,86533,111,0,223,-20,-6,20,8,17,0,-11,2023-12-22 00:04:28,0.0,0.0
9,0,2023-12-22 00:01:47,-13382,0,-13505,33981,11883,-1452,78020,3356,0,86533,334,0,66,-6,-24,7,24,0,0,0,2023-12-22 00:04:28,0.0,0.0
10,0,2023-12-22 00:01:49,-13527,0,-13583,33988,11901,-1461,78002,3345,0,86544,-145,0,-78,7,18,-9,-18,-11,0,11,2023-12-22 00:04:28,0.0,0.0
11,0,2023-12-22 00:01:52,-13805,0,-13727,34001,11919,-1473,77982,3339,0,86544,-278,0,-144,13,18,-12,-20,-6,0,0,2023-12-22 00:04:28,0.0,0.0
12,0,2023-12-22 00:01:55,-13727,0,-13560,33986,11917,-1458,77986,3334,0,86555,78,0,167,-15,-2,15,4,-5,0,11,2023-12-22 00:04:28,0.0,0.0
13,0,2023-12-22 00:01:58,-13549,0,-13404,33972,11902,-1445,78003,3339,0,86544,178,0,156,-14,-15,13,17,5,0,-11,2023-12-22 00:04:28,0.0,0.0
14,0,2023-12-22 00:02:02,-13649,0,-13716,34000,11916,-1472,77986,3345,0,86544,-100,0,-312,28,14,-27,-17,6,0,0,2023-12-22 00:04:28,0.0,0.0
15,0,2023-12-22 00:02:05,-13571,0,-13627,33992,11883,-1464,78019,3339,0,86550,78,0,89,-8,-33,8,33,-6,0,6,2023-12-22 00:04:28,0.0,0.0
16,0,2023-12-22 00:02:08,-13805,0,-13805,34008,11883,-1479,78017,3334,0,86550,-234,0,-178,16,0,-15,-2,-5,0,0,2023-12-22 00:04:28,0.0,0.0
17,0,2023-12-22 00:02:11,-13761,0,-13560,33986,11922,-1458,77981,3328,0,86555,44,0,245,-22,39,21,-36,-6,0,5,2023-12-22 00:04:28,0.0,0.0
18,0,2023-12-22 00:02:13,-13438,0,-13560,33986,11906,-1458,77997,3328,0,86555,323,0,0,0,-16,0,16,0,0,0,2023-12-22 00:04:28,0.0,0.0
19,0,2023-12-22 00:02:16,-13638,0,-13738,34002,11884,-1474,78017,3334,0,86555,-200,0,-178,16,-22,-16,20,6,0,0,2023-12-22 00:04:28,0.0,0.0
20,0,2023-12-22 00:02:19,-13716,0,-13861,34013,11896,-1485,78003,3339,0,86550,-78,0,-123,11,12,-11,-14,5,0,-5,2023-12-22 00:04:28,0.0,0.0
21,0,2023-12-22 00:02:22,-13571,0,-13672,33996,11888,-1468,78013,3350,0,86539,145,0,189,-17,-8,17,10,11,0,-11,2023-12-22 00:04:28,0.0,0.0
22,0,2023-12-22 00:02:26,-13794,0,-13627,33992,11906,-1463,77996,3345,0,86544,-223,0,45,-4,18,5,-17,-5,0,5,2023-12-22 00:04:28,0.0,0.0
23,0,2023-12-22 00:02:29,-13683,0,-13594,33989,11896,-1460,78007,3334,0,86555,111,0,33,-3,-10,3,11,-11,0,11,2023-12-22 00:04:28,0.0,0.0
24,0,2023-12-22 00:02:32,-13627,0,-13683,33997,11913,-1469,77988,3339,0,86550,56,0,-89,8,17,-9,-19,5,0,-5,2023-12-22 00:04:28,0.0,0.0
25,0,2023-12-22 00:02:35,-13516,0,-13727,34001,11904,-1473,77997,3339,0,86550,111,0,-44,4,-9,-4,9,0,0,0,2023-12-22 00:04:28,0.0,0.0
