,label,时间,原始重量,稳定重量,轴重,su_ad,wpu_x,wpu_y,wpu_z,su_x,su_y,su_z,原始重量_diff,稳定重量_diff,轴重_diff,su_ad_diff,wpu_x_diff,wpu_y_diff,wpu_z_diff,su_x_diff,su_y_diff,su_z_diff,轨迹时间,速度,估计重量
28,0,2023-12-24 00:01:25,-10409,0,-10309,33694,12697,-579,77284,2834,-609,86978,-167,0,-200,18,1,-18,-2,0,0,0,2023-12-24 00:05:21,0.0,0.0
29,0,2023-12-24 00:01:28,-10164,0,-10087,33674,12679,-559,77303,2834,-609,86978,245,0,222,-20,-18,20,19,0,0,0,2023-12-24 00:05:21,0.0,0.0
30,0,2023-12-24 00:01:31,-10454,0,-10409,33703,12681,-587,77299,2834,-609,86978,-290,0,-322,29,2,-28,-4,0,0,0,2023-12-24 00:05:21,0.0,0.0
31,0,2023-12-24 00:01:34,-10387,0,-10387,33701,12689,-585,77292,2834,-609,86978,67,0,22,-2,8,2,-7,0,0,0,2023-12-24 00:05:21,0.0,0.0
32,0,2023-12-24 00:01:36,-9986,0,-10120,33677,12694,-567,77287,2839,-604,86973,401,0,267,-24,5,18,-5,5,5,-5,2023-12-24 00:05:21,0.0,0.0
33,0,2023-12-24 00:01:39,-10376,0,-10599,33720,12683,-609,77296,2834,-604,86978,-390,0,-479,43,-11,-42,9,-5,0,5,2023-12-24 00:05:21,0.0,0.0
34,0,2023-12-24 00:01:42,-10075,0,-10242,33688,12680,-577,77301,2834,-604,86978,301,0,357,-32,-3,32,5,0,0,0,2023-12-24 00:05:21,0.0,0.0
35,0,2023-12-24 00:01:45,-10176,0,-10098,33675,12688,-560,77294,2834,-609,86978,-101,0,144,-13,8,17,-7,0,-5,0,2023-12-24 00:05:21,0.0,0.0
36,0,2023-12-24 00:01:49,-10476,0,-10298,33693,12678,-577,77303,2834,-609,86978,-300,0,-200,18,-10,-17,9,0,0,0,2023-12-24 00:05:21,0.0,0.0
37,0,2023-12-24 00:01:52,-10376,0,-10432,33705,12685,-589,77296,2834,-609,86978,100,0,-134,12,7,-12,-7,0,0,0,2023-12-24 00:05:21,0.0,0.0
38,0,2023-12-24 00:01:55,-10287,0,-10231,33687,12665,-571,77317,2839,-609,86973,89,0,201,-18,-20,18,21,5,0,-5,2023-12-24 00:05:21,0.0,0.0
39,0,2023-12-24 00:01:58,-10220,0,-10309,33694,12684,-578,77296,2834,-609,86978,67,0,-78,7,19,-7,-21,-5,0,5,2023-12-24 00:05:21,0.0,0.0
40,0,2023-12-24 00:02:00,-10343,0,-10164,33681,12666,-566,77316,2834,-609,86978,-123,0,145,-13,-18,12,20,0,0,0,2023-12-24 00:05:21,0.0,0.0
41,0,2023-12-24 00:02:03,-10231,0,-10498,33711,12673,-595,77307,2834,-609,86978,112,0,-334,30,7,-29,-9,0,0,0,2023-12-24 00:05:21,0.0,0.0
